#Source City,Destination City
Uberlandia,Ribeirao Preto
Uberlandia,Uberaba
Vitoria Da Conquista,Sao Paulo
Vitoria Da Conquista,Salvador
Burlington,Chicago
Burlington,St Louis
Decatur,Chicago
Decatur,St Louis
Jonesboro,St Louis
Chicago,Burlington
Chicago,Decatur
St Louis,Burlington
St Louis,Decatur
St Louis,Jonesboro
Craig,Hollis
Craig,Ketchikan
Hollis,Craig
Hollis,Thorne Bay
Hollis,Ketchikan
Thorne Bay,Hollis
Thorne Bay,Ketchikan
Ketchikan,Craig
Ketchikan,Hollis
Ketchikan,Thorne Bay
Ketchikan,Metlakatla
Metlakatla,Ketchikan
Accra,Dakar
Accra,Lagos
Accra,Monrovia
Barcelona,Banjul
Banjul,Barcelona
Banjul,Dakar
Banjul,Freetown
Conakry,Bissau
Dakar,Accra
Dakar,Banjul
Dakar,Douala
Dakar,Freetown
Dakar,Lagos
Dakar,Bissau
Douala,Dakar
Douala,Lagos
Freetown,Banjul
Freetown,Dakar
Freetown,London
Freetown,Monrovia
London,Freetown
Lagos,Accra
Lagos,Dakar
Lagos,Douala
Lagos,Monrovia
Bissau,Conakry
Bissau,Dakar
Monrovia,Accra
Monrovia,Freetown
Monrovia,Lagos
Akulivik,Ivujivik
Akulivik,Povungnituk
Kangiqsualujjuaq,Kuujjuaq
La Grande,Kuujjuarapik
La Grande,Povungnituk
La Grande,Montreal
Kuujjuarapik,La Grande
Kuujjuarapik,Inukjuak
Kuujjuarapik,Sanikiluaq
Kuujjuarapik,Umiujaq
Kuujjuarapik,Montreal
Kuujjuarapik,Rouyn
Ivujivik,Akulivik
Ivujivik,Salluit
Kangirsuk,Aupaluk
Kangirsuk,Quaqtaq
Kangirsuk,Kuujjuaq
Schefferville,Quebec City
Schefferville,Kuujjuaq
Schefferville,Wabush
Schefferville,Sept-Iles
Inukjuak,Povungnituk
Inukjuak,Umiujaq
Inukjuak,Kuujjuaq
Aupaluk,Kangirsuk
Aupaluk,Tasiujuaq
Aupaluk,Kuujjuaq
Povungnituk,Akulivik
Povungnituk,La Grande
Povungnituk,Inukjuak
Povungnituk,Kuujjuaq
Quebec City,Schefferville
Quebec City,Montreal
Quaqtaq,Kangirsuk
Quaqtaq,Kangiqsujuaq
Sanikiluaq,Kuujjuarapik
Sanikiluaq,Umiujaq
Tasiujuaq,Aupaluk
Tasiujuaq,Kuujjuaq
Umiujaq,Kuujjuarapik
Umiujaq,Inukjuak
Umiujaq,Sanikiluaq
Montreal,La Grande
Montreal,Kuujjuarapik
Montreal,Quebec City
Montreal,Rouyn
Rouyn,Kuujjuarapik
Rouyn,Montreal
Kuujjuaq,Kangiqsualujjuaq
Kuujjuaq,Kuujjuarapik
Kuujjuaq,Kangirsuk
Kuujjuaq,Schefferville
Kuujjuaq,Inukjuak
Kuujjuaq,Aupaluk
Kuujjuaq,Povungnituk
Kuujjuaq,Tasiujuaq
Kangiqsujuaq,Quaqtaq
Kangiqsujuaq,Salluit
Wabush,Schefferville
Wabush,Sept-Iles
Salluit,Ivujivik
Salluit,Kangiqsujuaq
Sept-Iles,Schefferville
Sept-Iles,Wabush
Djibouti,Dubai
Djibouti,Jeddah
Djibouti,Mogadishu
Mogadishu,Nairobi
Nairobi,Mogadishu
Bangkok,Singapore
Darwin,Singapore
Haikou,Singapore
Hangzhou,Singapore
Hong Kong,Singapore
Phuket,Singapore
Osaka,Manila
Osaka,Taipei
Kuala Lumpur,Singapore
Manila,Osaka
Manila,Singapore
Penang,Singapore
Perth,Singapore
Phnom Penh,Singapore
Siem Reap,Singapore
Yangon,Singapore
Ho Chi Minh City,Singapore
Singapore,Bangkok
Singapore,Darwin
Singapore,Haikou
Singapore,Hangzhou
Singapore,Hong Kong
Singapore,Phuket
Singapore,Kuala Lumpur
Singapore,Manila
Singapore,Penang
Singapore,Perth
Singapore,Phnom Penh
Singapore,Siem Reap
Singapore,Yangon
Singapore,Ho Chi Minh City
Singapore,Shantou
Singapore,Taipei
Shantou,Singapore
Taipei,Osaka
Taipei,Singapore
Altenrhein,Elba Island
Dresden,Zurich
Dusseldorf,Friedrichshafen
Elba Island,Altenrhein
Elba Island,Friedrichshafen
Elba Island,Munich
Elba Island,Zurich
Friedrichshafen,Dusseldorf
Friedrichshafen,Elba Island
Friedrichshafen,Hamburg
Friedrichshafen,Olbia
Friedrichshafen,Berlin
Friedrichshafen,Zadar
Graz,Zurich
Hamburg,Friedrichshafen
Munich,Elba Island
Olbia,Friedrichshafen
Salzburg,Zurich
Berlin,Friedrichshafen
Zadar,Friedrichshafen
Zurich,Dresden
Zurich,Elba Island
Zurich,Graz
Zurich,Salzburg
Atlanta,Lewisburg
Atlanta,Macon
Atlanta,Meridian
Atlanta,Sheffield
Atlanta,Laurel
Atlanta,Tupelo
Bimini,Fort Lauderdale
North Eleuthera,Fort Lauderdale
North Eleuthera,West Palm Beach
Key West,Fort Lauderdale
Key West,Fort Myers
Key West,Tampa
Fort Lauderdale,Bimini
Fort Lauderdale,North Eleuthera
Fort Lauderdale,Key West
Fort Lauderdale,George Town
Fort Lauderdale,Governors Harbour
Fort Lauderdale,Orlando
Fort Lauderdale,Marsh Harbour
Fort Lauderdale,Treasure Cay
Fort Lauderdale,Tampa
George Town,Fort Lauderdale
George Town,Governors Harbour
Governors Harbour,Fort Lauderdale
Greenville,Tupelo
Gainesville,Orlando
Gainesville,Tampa
Jacksonville,Marsh Harbour
Jacksonville,Tampa
Lewisburg,Atlanta
Macon,Atlanta
Macon,Orlando
Orlando,Fort Lauderdale
Orlando,Gainesville
Orlando,Macon
Orlando,Marsh Harbour
Orlando,Pensacola
Orlando,Fort Myers
Orlando,Tallahassee
Meridian,Atlanta
Marsh Harbour,Fort Lauderdale
Marsh Harbour,Jacksonville
Marsh Harbour,Orlando
Marsh Harbour,West Palm Beach
Sheffield,Atlanta
West Palm Beach,North Eleuthera
West Palm Beach,Marsh Harbour
West Palm Beach,Tampa
Laurel,Atlanta
Pensacola,Orlando
Pensacola,Tampa
Fort Myers,Key West
Fort Myers,Orlando
Treasure Cay,Fort Lauderdale
Tallahassee,Orlando
Tallahassee,Tampa
Tampa,Key West
Tampa,Fort Lauderdale
Tampa,Gainesville
Tampa,Jacksonville
Tampa,West Palm Beach
Tampa,Pensacola
Tampa,Tallahassee
Tupelo,Atlanta
Tupelo,Greenville
Haarlemmermeer,Nador
Haarlemmermeer,Tangier
Barcelona,Casablanca
Barcelona,Nador
Barcelona,Tangier
Milan/bergamo,Casablanca
Bologna,Casablanca
Brussels,Casablanca
Brussels,Nador
Brussels,Tangier
Cologne,Nador
Casablanca,Barcelona
Casablanca,Milan/bergamo
Casablanca,Bologna
Casablanca,Brussels
Casablanca,Cuneo
Casablanca,London
Casablanca,Lyon
Casablanca,Montpellier
Casablanca,Istanbul
Casablanca,Toulouse
Casablanca,Treviso
Cuneo,Casablanca
Fez,Montpellier
London,Casablanca
London,Tangier
Lyon,Casablanca
Montpellier,Casablanca
Montpellier,Fez
Montpellier,Nador
Nador,Haarlemmermeer
Nador,Barcelona
Nador,Brussels
Nador,Cologne
Nador,Montpellier
Nador,Palma Mallorca
Palma Mallorca,Nador
Istanbul,Casablanca
Toulouse,Casablanca
Tangier,Haarlemmermeer
Tangier,Barcelona
Tangier,Brussels
Tangier,London
Treviso,Casablanca
Aruba,Las Piedras
Aruba,Maracaibo
Bonaire,Curacao
Curacao,Aruba
Las Piedras,Aruba
Maracaibo,Aruba
Astrakhan,Moscow
Astrakhan,St Petersburg
Bukhara,Moscow
Moscow,Astrakhan
Moscow,Bukhara
Moscow,Belgorod
Moscow,Fergana
Moscow,Karshi
Moscow,Namangan
Moscow,Navoi
Moscow,Samarkand
Moscow,Tivat
Belgorod,Moscow
Fergana,Moscow
Karshi,Moscow
St Petersburg,Astrakhan
Namangan,Moscow
Navoi,Moscow
Samarkand,Moscow
Tivat,Moscow
Antigua,Pointe-a-Pitre
Cayenne,Fort De France
Curacao,Santo Domingo
Dominica,Pointe-a-Pitre
Dominica,St Maarten
Fort De France,Cayenne
Fort De France,Pointe-a-Pitre
Fort De France,Santo Domingo
Fort De France,St Lucia
Pointe-a-Pitre,Antigua
Pointe-a-Pitre,Dominica
Pointe-a-Pitre,Fort De France
Pointe-a-Pitre,St Barthelemy
Pointe-a-Pitre,Santo Domingo
Pointe-a-Pitre,St Martin
Pointe-a-Pitre,St Maarten
St Barthelemy,Pointe-a-Pitre
Santo Domingo,Pointe-a-Pitre
Santo Domingo,St Maarten
St Martin,Pointe-a-Pitre
St Lucia,Fort De France
St Maarten,Dominica
St Maarten,Pointe-a-Pitre
St Maarten,Santo Domingo
Beihai,Xi An
Guangzhou,Chongqing
Guangzhou,Chengdu
Guangzhou,Saipan
Zhengzhou,Changchun
Zhengzhou,Chongqing
Zhengzhou,Chengdu
Zhengzhou,Hangzhou
Zhengzhou,Harbin
Zhengzhou,Kunming
Zhengzhou,Urumqi
Changchun,Zhengzhou
Changchun,Nanking/nanjing
Changchun,Jinan
Changchun,Tianjin
Chongqing,Guangzhou
Chongqing,Zhengzhou
Chongqing,Changsha
Chongqing,Chengdu
Chongqing,Changzhou
Chongqing,Dalian
Chongqing,Dayong
Chongqing,Haikou
Chongqing,Hangzhou
Chongqing,Phuket
Chongqing,Yinchuan
Chongqing,Nanchang
Chongqing,Kunming
Chongqing,Lanzhou
Chongqing,Lijiang City
Chongqing,Lhasa
Chongqing,Ningbo
Chongqing,Nanking/nanjing
Chongqing,Nanning
Chongqing,Beijing
Chongqing,Shanghai
Chongqing,Pan Zhi Hua
Chongqing,Shantou
Chongqing,Sydney
Chongqing,Sanya
Chongqing,Shenzhen
Chongqing,Jinan
Chongqing,Taipei
Chongqing,Tianjin
Chongqing,Taiyuan
Chongqing,Urumqi
Chongqing,Wuhan
Chongqing,Wuxi
Chongqing,Xi An
Chongqing,Xining
Chongqing,Yichang
Chongqing,Zhanjiang
Changsha,Chongqing
Changsha,Chengdu
